Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	Gene name	Gene type
ENSG00000276450	CHR_HSCHR19KIR_FH05_A_HAP_CTG3_1	54905329	54909244	1	NCR1	protein_coding
ENSG00000143669	1	235661041	235883640	-1	LYST	protein_coding
ENSG00000123545	6	96889313	96897881	-1	NDUFAF4	protein_coding
ENSG00000105388	19	41708585	41729798	1	CEACAM5	protein_coding
ENSG00000165671	5	177133025	177300215	1	NSD1	protein_coding
ENSG00000172461	6	96015984	96215612	1	FUT9	protein_coding
ENSG00000132693	1	159712289	159714589	-1	CRP	protein_coding
ENSG00000059804	12	7919230	7936275	-1	SLC2A3	protein_coding
ENSG00000114859	3	184346185	184361651	-1	CLCN2	protein_coding
ENSG00000168264	1	234604269	234609525	-1	IRF2BP2	protein_coding
ENSG00000070756	8	100685816	100722809	-1	PABPC1	protein_coding
ENSG00000134202	1	109733932	109741038	-1	GSTM3	protein_coding
ENSG00000161011	5	179806398	179838078	1	SQSTM1	protein_coding
ENSG00000198758	1	109750080	109764027	-1	EPS8L3	protein_coding
ENSG00000150991	12	124911604	124917368	-1	UBC	protein_coding
ENSG00000116991	1	232397965	232561558	-1	SIPA1L2	protein_coding
ENSG00000118733	1	101802574	101997030	-1	OLFM3	protein_coding
ENSG00000184227	14	73537114	73543794	1	ACOT1	protein_coding
ENSG00000121413	19	58083838	58118427	-1	ZSCAN18	protein_coding
ENSG00000154263	17	69147214	69244846	-1	ABCA10	protein_coding
ENSG00000168765	1	109656081	109674836	1	GSTM4	protein_coding
ENSG00000106477	7	130393771	130442433	-1	CEP41	protein_coding
ENSG00000214114	1	38862964	38874105	-1	MYCBP	protein_coding
ENSG00000100721	14	95709967	95714196	-1	TCL1A	protein_coding
ENSG00000105607	19	12891026	12914207	1	GCDH	protein_coding
ENSG00000076321	1	173714941	173786702	1	KLHL20	protein_coding
ENSG00000120337	1	173039960	173050963	-1	TNFSF18	protein_coding
ENSG00000196498	12	124324415	124567589	-1	NCOR2	protein_coding
ENSG00000161021	5	179732850	179777286	1	MAML1	protein_coding
ENSG00000123179	13	49660723	49691475	-1	EBPL	protein_coding
ENSG00000173480	19	57900296	57916610	-1	ZNF417	protein_coding
ENSG00000105329	19	41301587	41353911	-1	TGFB1	protein_coding
ENSG00000105612	19	12875211	12881468	-1	DNASE2	protein_coding
ENSG00000104783	19	43766533	43781261	-1	KCNN4	protein_coding
ENSG00000102076	X	154144224	154159032	1	OPN1LW	protein_coding
ENSG00000230624	CHR_HSCHR6_MHC_DBB_CTG1	31512399	31528755	-1	DDX39B	protein_coding
ENSG00000171806	1	169792529	169794966	-1	METTL18	protein_coding
ENSG00000165821	14	21521081	21537216	-1	SALL2	protein_coding
ENSG00000074276	5	176542511	176595974	1	CDHR2	protein_coding
ENSG00000116717	1	67685061	67688338	1	GADD45A	protein_coding
ENSG00000167644	19	38304161	38305009	1	C19orf33	protein_coding
ENSG00000124356	2	73828916	73873659	1	STAMBP	protein_coding
ENSG00000119392	9	128504700	128542288	1	GLE1	protein_coding
ENSG00000135472	12	49866896	49904217	-1	FAIM2	protein_coding
ENSG00000198805	14	20468954	20477094	1	PNP	protein_coding
ENSG00000143185	1	168540765	168543997	-1	XCL2	protein_coding
ENSG00000143184	1	168576473	168582077	1	XCL1	protein_coding
ENSG00000172717	14	67189393	67228550	1	FAM71D	protein_coding
ENSG00000169418	1	153678637	153693992	1	NPR1	protein_coding
ENSG00000253797	13	52024691	52033600	1	UTP14C	protein_coding
ENSG00000115464	2	61187463	61470769	-1	USP34	protein_coding
ENSG00000143314	1	156737303	156741590	-1	MRPL24	protein_coding
ENSG00000253710	13	52012398	52032171	1	ALG11	protein_coding
ENSG00000005436	2	75652000	75710989	-1	GCFC2	protein_coding
ENSG00000143196	1	168695459	168729264	-1	DPT	protein_coding
ENSG00000165621	13	96985719	96994730	-1	OXGR1	protein_coding
ENSG00000148153	9	112683926	112718236	-1	INIP	protein_coding
ENSG00000143384	1	150574551	150579738	-1	MCL1	protein_coding
ENSG00000172889	9	136658856	136672678	1	EGFL7	protein_coding
ENSG00000046889	8	67952118	68237030	1	PREX2	protein_coding
ENSG00000274782	CHR_HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	54769765	54784000	1	KIR2DL1	protein_coding
ENSG00000276996	CHR_HSCHR5_3_CTG1	1392790	1449666	-1	SLC6A3	protein_coding
ENSG00000143382	1	150549369	150560937	1	ADAMTSL4	protein_coding
ENSG00000150977	12	123410683	123436717	-1	RILPL2	protein_coding
ENSG00000089169	12	112570380	112898881	1	RPH3A	protein_coding
ENSG00000145781	5	116084991	116412762	1	COMMD10	protein_coding
ENSG00000158560	7	95772506	96110322	1	DYNC1I1	protein_coding
ENSG00000166226	12	69585334	69601570	1	CCT2	protein_coding
ENSG00000142583	1	9035107	9088478	-1	SLC2A5	protein_coding
ENSG00000184209	12	123457641	123473154	1	SNRNP35	protein_coding
ENSG00000156860	16	30658431	30670814	1	FBRS	protein_coding
ENSG00000188026	12	123470054	123533718	-1	RILPL1	protein_coding
ENSG00000139793	13	97221434	97394120	1	MBNL2	protein_coding
ENSG00000143156	1	169132531	169367967	-1	NME7	protein_coding
ENSG00000115364	2	75646783	75690851	1	MRPL19	protein_coding
ENSG00000134001	14	67359997	67386516	1	EIF2S1	protein_coding
ENSG00000146858	7	139025706	139036029	-1	ZC3HAV1L	protein_coding
ENSG00000204661	5	179641544	179645046	-1	C5orf60	protein_coding
ENSG00000138134	10	88879734	88975153	1	STAMBPL1	protein_coding
ENSG00000128050	4	56435741	56464579	1	PAICS	protein_coding
ENSG00000173230	3	121663199	121749767	-1	GOLGB1	protein_coding
ENSG00000072415	14	67241109	67335819	1	MPP5	protein_coding
ENSG00000204084	1	37860697	37947057	-1	INPP5B	protein_coding
ENSG00000143321	1	156742107	156766925	-1	HDGF	protein_coding
ENSG00000184371	1	109910242	109930992	1	CSF1	protein_coding
ENSG00000161013	5	179797597	179806952	-1	MGAT4B	protein_coding
ENSG00000086015	1	45786987	46036124	1	MAST2	protein_coding
ENSG00000143379	1	150926263	150964744	1	SETDB1	protein_coding
ENSG00000213614	15	72340919	72376476	-1	HEXA	protein_coding
ENSG00000142751	1	26876133	26890297	-1	GPN2	protein_coding
ENSG00000127328	12	69738681	69823204	1	RAB3IP	protein_coding
ENSG00000112659	6	43182175	43224587	1	CUL9	protein_coding
ENSG00000159592	1	45627304	45688113	-1	GPBP1L1	protein_coding
ENSG00000116906	1	231241207	231277973	1	GNPAT	protein_coding
ENSG00000198178	12	7729415	7751605	-1	CLEC4C	protein_coding
ENSG00000158828	1	20633455	20651511	1	PINK1	protein_coding
ENSG00000138115	10	95036772	95069497	-1	CYP2C8	protein_coding
ENSG00000130338	6	158232236	158511828	1	TULP4	protein_coding
ENSG00000143641	1	230057990	230282124	1	GALNT2	protein_coding
ENSG00000105610	19	12884422	12887199	-1	KLF1	protein_coding
ENSG00000080603	16	30698209	30741409	1	SRCAP	protein_coding
ENSG00000115159	2	156435290	156613735	1	GPD2	protein_coding
ENSG00000275288	CHR_HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	54816438	54830737	1	KIR3DL1	protein_coding
ENSG00000143178	1	168281040	168314426	1	TBX19	protein_coding
ENSG00000240432	21	30425265	30425968	-1	KRTAP13-3	protein_coding
ENSG00000087448	12	27780020	27803040	1	KLHL42	protein_coding
ENSG00000038382	5	14143702	14532128	1	TRIO	protein_coding
ENSG00000026103	10	88990582	89015785	1	FAS	protein_coding
ENSG00000083099	6	89568144	89638753	-1	LYRM2	protein_coding
ENSG00000128059	4	56393362	56435615	-1	PPAT	protein_coding
ENSG00000065618	10	104031286	104085957	-1	COL17A1	protein_coding
ENSG00000144677	3	37861960	37984469	1	CTDSPL	protein_coding
ENSG00000178229	19	57320509	57330776	1	ZNF543	protein_coding
ENSG00000132622	20	3732667	3753111	1	HSPA12B	protein_coding
ENSG00000188779	15	67819704	67834561	1	SKOR1	protein_coding
ENSG00000258873	19	57154021	57167443	-1	DUXA	protein_coding
ENSG00000123191	13	51930436	52012125	-1	ATP7B	protein_coding
ENSG00000143126	1	109250019	109275750	1	CELSR2	protein_coding
ENSG00000255974	19	40843538	40850447	-1	CYP2A6	protein_coding
ENSG00000117620	1	99969351	100035637	1	SLC35A3	protein_coding
ENSG00000115266	19	1446302	1473244	1	APC2	protein_coding
ENSG00000164091	3	52254421	52288020	-1	WDR82	protein_coding
ENSG00000275750	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54769705	54783961	1	KIR2DL1	protein_coding
ENSG00000018610	X	119538149	119565408	-1	CXorf56	protein_coding
ENSG00000181090	9	137618963	137870016	1	EHMT1	protein_coding
ENSG00000278442	CHR_HSCHR19KIR_T7526_A_HAP_CTG3_1	54850442	54867200	1	KIR3DL2	protein_coding
ENSG00000257335	7	141907813	142106747	1	MGAM	protein_coding
ENSG00000073050	19	43543040	43580473	-1	XRCC1	protein_coding
ENSG00000230254	CHR_HSCHR6_MHC_SSTO_CTG1	30481701	30486439	1	HLA-E	protein_coding
ENSG00000198908	X	102720688	102753540	1	BHLHB9	protein_coding
ENSG00000157426	4	56338287	56387508	-1	AASDH	protein_coding
ENSG00000139998	14	64945814	64973226	-1	RAB15	protein_coding
ENSG00000119707	14	73058436	73123898	1	RBM25	protein_coding
ENSG00000111252	12	111405948	111451623	1	SH2B3	protein_coding
ENSG00000155760	2	202034587	202038445	1	FZD7	protein_coding
ENSG00000124155	20	45416067	45456934	1	PIGT	protein_coding
ENSG00000124733	6	43011143	43016868	-1	MEA1	protein_coding
ENSG00000132698	1	156061160	156070514	1	RAB25	protein_coding
ENSG00000071246	14	76762189	76783015	1	VASH1	protein_coding
ENSG00000145390	4	119212587	119295517	1	USP53	protein_coding
ENSG00000109016	17	21123364	21193265	1	DHRS7B	protein_coding
ENSG00000130723	9	131373636	131500197	1	PRRC2B	protein_coding
ENSG00000130695	1	26234200	26278808	1	CEP85	protein_coding
ENSG00000110756	11	18278668	18322198	-1	HPS5	protein_coding
ENSG00000168802	16	69118010	69132584	-1	CHTF8	protein_coding
ENSG00000113525	5	132541444	132556838	-1	IL5	protein_coding
ENSG00000116237	1	6221193	6235972	-1	ICMT	protein_coding
ENSG00000177854	X	153972327	153983195	1	TMEM187	protein_coding
ENSG00000134686	1	33323623	33431052	-1	PHC2	protein_coding
ENSG00000262246	16	4354542	4425705	-1	CORO7	protein_coding
ENSG00000179841	14	64465499	64474503	1	AKAP5	protein_coding
ENSG00000111832	6	116571367	116597675	1	RWDD1	protein_coding
ENSG00000126858	17	32142454	32253374	1	RHOT1	protein_coding
ENSG00000106479	7	149838367	149867479	1	ZNF862	protein_coding
ENSG00000142675	1	26177403	26189886	1	CNKSR1	protein_coding
ENSG00000118873	1	220148293	220272454	-1	RAB3GAP2	protein_coding
ENSG00000221995	17	29073521	29078857	-1	TIAF1	protein_coding
ENSG00000273735	CHR_HSCHR19KIR_RP5_B_HAP_CTG3_1	54864204	54872914	1	KIR3DL2	protein_coding
ENSG00000143373	1	151281618	151292180	1	ZNF687	protein_coding
ENSG00000197992	12	10030677	10066027	1	CLEC9A	protein_coding
ENSG00000247596	3	52228610	52239260	-1	TWF2	protein_coding
ENSG00000071626	19	1407569	1435687	1	DAZAP1	protein_coding
ENSG00000131914	1	26410778	26429722	1	LIN28A	protein_coding
ENSG00000135338	6	79484991	79537458	-1	LCA5	protein_coding
ENSG00000146477	6	160348268	160452581	1	SLC22A3	protein_coding
ENSG00000141052	17	12665890	12768949	1	MYOCD	protein_coding
ENSG00000185652	12	5432112	5521536	1	NTF3	protein_coding
ENSG00000143398	1	151197949	151249536	1	PIP5K1A	protein_coding
ENSG00000161381	17	39063303	39154394	-1	PLXDC1	protein_coding
ENSG00000176771	2	132671799	133568463	-1	NCKAP5	protein_coding
ENSG00000240230	7	898778	975599	-1	COX19	protein_coding
ENSG00000090989	4	55853616	55905034	1	EXOC1	protein_coding
ENSG00000122958	10	69123512	69172861	1	VPS26A	protein_coding
ENSG00000145919	5	173607514	173616660	-1	BOD1	protein_coding
ENSG00000105251	19	4278601	4290724	1	SHD	protein_coding
ENSG00000064547	19	19623668	19628930	-1	LPAR2	protein_coding
ENSG00000167614	19	54415219	54436900	1	TTYH1	protein_coding
ENSG00000205084	16	75536744	75556286	-1	TMEM231	protein_coding
ENSG00000166033	10	122458551	122514908	1	HTRA1	protein_coding
ENSG00000148835	10	103367967	103389065	1	TAF5	protein_coding
ENSG00000084674	2	21001429	21044073	-1	APOB	protein_coding
ENSG00000168785	4	98470367	98658629	-1	TSPAN5	protein_coding
ENSG00000138081	2	47789316	47905793	-1	FBXO11	protein_coding
ENSG00000105427	19	42387019	42390287	-1	CNFN	protein_coding
ENSG00000124151	20	47501902	47656877	1	NCOA3	protein_coding
ENSG00000186010	19	19515736	19529054	1	NDUFA13	protein_coding
ENSG00000082153	2	200810594	200827338	1	BZW1	protein_coding
ENSG00000132938	13	28820348	29505947	1	MTUS2	protein_coding
ENSG00000186472	7	82754013	83162930	-1	PCLO	protein_coding
ENSG00000115325	2	74549026	74557554	1	DOK1	protein_coding
ENSG00000182481	17	68035519	68046842	1	KPNA2	protein_coding
ENSG00000076356	1	208022242	208244320	-1	PLXNA2	protein_coding
ENSG00000167699	17	757097	783390	-1	GLOD4	protein_coding
ENSG00000062038	16	68636189	68722616	1	CDH3	protein_coding
ENSG00000148450	10	23095506	23122013	1	MSRB2	protein_coding
ENSG00000176170	17	76376584	76387860	1	SPHK1	protein_coding
ENSG00000072803	5	171861549	172006873	-1	FBXW11	protein_coding
ENSG00000162227	11	62771303	62787342	1	TAF6L	protein_coding
ENSG00000151413	14	31489956	31861224	1	NUBPL	protein_coding
ENSG00000189221	X	43654907	43746824	1	MAOA	protein_coding
ENSG00000157625	X	30827442	30975084	-1	TAB3	protein_coding
ENSG00000274050	CHR_HSCHR19LRC_LRC_T_CTG3_1	54957703	54982262	-1	GP6	protein_coding
ENSG00000285089	CHR_HSCHR6_MHC_MANN_CTG1	30958848	30971101	1	VARS2	protein_coding
ENSG00000276263	CHR_HSCHR19LRC_LRC_I_CTG3_1	54107066	54115801	-1	TFPT	protein_coding
ENSG00000285192	CHR_HSCHR6_MHC_DBB_CTG1	30904916	30917180	1	VARS2	protein_coding
ENSG00000276044	CHR_HSCHR19KIR_FH08_BAX_HAP_CTG3_1	54833799	54844782	1	KIR2DL4	protein_coding
ENSG00000162613	1	77944055	77979110	-1	FUBP1	protein_coding
ENSG00000132676	1	155687960	155739010	1	DAP3	protein_coding
ENSG00000170633	12	121400041	121430623	1	RNF34	protein_coding
ENSG00000089094	12	121429097	121581015	-1	KDM2B	protein_coding
ENSG00000130939	1	10032832	10181239	1	UBE4B	protein_coding
ENSG00000183092	14	100537147	100587413	-1	BEGAIN	protein_coding
ENSG00000140105	14	100333788	100376805	-1	WARS	protein_coding
ENSG00000184005	1	76074719	76634601	1	ST6GALNAC3	protein_coding
ENSG00000169241	1	155135344	155138857	1	SLC50A1	protein_coding
ENSG00000100600	14	92703807	92748702	-1	LGMN	protein_coding
ENSG00000131408	19	50329653	50382982	1	NR1H2	protein_coding
ENSG00000147206	X	103075810	103093125	-1	NXF3	protein_coding
ENSG00000173614	1	9943428	9985501	1	NMNAT1	protein_coding
ENSG00000223959	16	89972586	90002161	1	AFG3L1P	transcribed_unitary_pseudogene
ENSG00000122971	12	120725735	120740008	1	ACADS	protein_coding
ENSG00000090554	19	49474207	49486231	1	FLT3LG	protein_coding
ENSG00000133169	X	103062651	103064240	-1	BEX1	protein_coding
ENSG00000266265	7	130731235	130734176	-1	KLF14	protein_coding
ENSG00000231823	CHR_HSCHR6_MHC_MANN_CTG1	32895064	32900625	1	HLA-DQA2	protein_coding
ENSG00000165934	14	92121937	92172145	1	CPSF2	protein_coding
ENSG00000183648	14	92116122	92121917	-1	NDUFB1	protein_coding
ENSG00000135097	12	120341330	120369180	-1	MSI1	protein_coding
ENSG00000089163	12	120302316	120313249	1	SIRT4	protein_coding
ENSG00000103196	16	84819984	84920768	1	CRISPLD2	protein_coding
ENSG00000160685	1	155002630	155018522	1	ZBTB7B	protein_coding
ENSG00000162711	1	247416156	247449108	1	NLRP3	protein_coding
ENSG00000196405	14	99971449	100144236	1	EVL	protein_coding
ENSG00000262180	1	186400572	186401455	1	OCLM	protein_coding
ENSG00000162851	1	246540560	246566324	-1	TFB2M	protein_coding
ENSG00000120645	12	66765	178460	1	IQSEC3	protein_coding
ENSG00000204227	6	33208495	33212722	1	RING1	protein_coding
ENSG00000162458	1	15756607	15786594	1	FBLIM1	protein_coding
ENSG00000089818	12	8076939	8097859	1	NECAP1	protein_coding
ENSG00000175906	17	43398959	43401137	1	ARL4D	protein_coding
ENSG00000139767	12	118981495	119163051	1	SRRM4	protein_coding
ENSG00000198598	12	131828393	131851783	1	MMP17	protein_coding
ENSG00000160714	1	154548577	154559028	-1	UBE2Q1	protein_coding
ENSG00000187097	14	73958010	74019399	-1	ENTPD5	protein_coding
ENSG00000061936	12	131711081	131799737	1	SFSWAP	protein_coding
ENSG00000147571	8	66176382	66178725	-1	CRH	protein_coding
ENSG00000171408	6	135851696	136195574	1	PDE7B	protein_coding
ENSG00000232339	CHR_HSCHR6_MHC_MANN_CTG1	32234228	32263476	-1	NOTCH4	protein_coding
ENSG00000280688	CHR_HSCHR5_5_CTG1	614020	626253	1	CEP72	protein_coding
ENSG00000124574	6	43427366	43450430	1	ABCC10	protein_coding
ENSG00000171603	1	9729026	9824526	-1	CLSTN1	protein_coding
ENSG00000277734	14	22547506	22552154	1	TRAC	TR_C_gene
ENSG00000181751	5	103258702	103278660	1	C5orf30	protein_coding
ENSG00000072121	14	67727374	67816590	-1	ZFYVE26	protein_coding
ENSG00000185361	19	4639518	4655568	1	TNFAIP8L1	protein_coding
ENSG00000168710	1	109984686	110023741	1	AHCYL1	protein_coding
ENSG00000121410	19	58345178	58353499	-1	A1BG	protein_coding
ENSG00000170989	1	101236865	101243713	1	S1PR1	protein_coding
ENSG00000005238	9	35104112	35116341	-1	FAM214B	protein_coding
ENSG00000092820	6	158765741	158819412	-1	EZR	protein_coding
ENSG00000173376	4	121035613	121073021	-1	NDNF	protein_coding
ENSG00000278540	17	37084988	37406818	-1	ACACA	protein_coding
ENSG00000111199	12	109783085	109833401	-1	TRPV4	protein_coding
ENSG00000177954	1	153990755	153992155	1	RPS27	protein_coding
ENSG00000152467	19	58034032	58054631	1	ZSCAN1	protein_coding
